epoch,step,train_loss,valid_loss
0,0,6.284440517425537,
0,1,4.438352584838867,
0,2,4.152584075927734,
0,3,4.114334583282471,
0,5,3.981405258178711,
0,6,3.8052618503570557,
0,7,3.6565818786621094,
0,8,3.5316946506500244,
0,10,3.4689629077911377,
0,11,3.4873900413513184,
0,12,3.641298770904541,
0,13,3.4771509170532227,
0,15,3.417799711227417,
0,16,3.433208703994751,
0,17,3.470752000808716,
0,18,3.415895462036133,
0,20,3.328037977218628,
0,21,3.431150436401367,
0,22,3.4260494709014893,
0,23,3.3307220935821533,
0,25,3.221848249435425,
0,26,3.3615798950195312,
0,27,3.345397710800171,
0,28,3.281748056411743,
0,30,3.31660795211792,
0,31,3.4148881435394287,
0,32,3.2893381118774414,
0,33,3.3444666862487793,
0,35,3.35955810546875,
0,36,3.3465049266815186,
0,37,3.36295223236084,
0,38,3.4810047149658203,
0,40,3.258002996444702,
0,41,3.3102357387542725,
0,42,3.3351545333862305,
0,43,3.304795026779175,
0,45,3.303471565246582,
0,46,3.249941349029541,
0,47,3.3663692474365234,
0,48,3.21537709236145,
0,50,3.1240315437316895,
0,51,3.2091145515441895,
0,52,3.191810131072998,
0,53,3.0933117866516113,
0,55,3.1357462406158447,
0,56,3.1271719932556152,
0,57,3.074383020401001,
0,58,2.9746406078338623,
0,60,3.005608320236206,
0,61,2.985818386077881,
0,62,3.009413242340088,
0,63,2.9622020721435547,
0,65,2.979698419570923,
0,66,2.862515926361084,
0,67,2.887946128845215,
0,68,2.8535335063934326,
0,70,3.0139811038970947,
0,71,3.0992326736450195,
0,72,3.064650535583496,
0,73,3.044834613800049,
0,75,2.920877695083618,
0,76,2.936501979827881,
0,77,2.8631951808929443,
0,78,2.8994009494781494,
0,80,2.954948902130127,
0,81,2.946932554244995,
0,82,2.899780750274658,
0,83,2.9503934383392334,
0,85,2.997957468032837,
0,86,2.853804588317871,
0,87,3.0203616619110107,
0,88,2.911665678024292,
0,90,2.9159815311431885,
0,91,3.0106260776519775,
0,92,2.941889524459839,
0,93,2.887995958328247,
0,95,2.933579206466675,
0,96,2.8009514808654785,
0,97,2.961956024169922,
